species_no,scientific_name
9944,acrocephalus paludicola
10154,acrocephalus palustris
10770,aegolius funereus
9547,aethia cristatella
8643,aethia pusilla
10460,alectoris graeca
10796,alectoris rufa
9463,anthus petrosus
10527,anthus pratensis
10644,aquila adalberti
10919,asio otus
10823,bombycilla garrulus
10703,bucephala clangula
9426,caprimulgus ruficollis
9763,carduelis citrinella
7980,carduelis corsicana
10326,certhia brachydactyla
8599,chersophilus duponti
10513,chlidonias niger
10581,clanga pomarina
10627,columba oenas
10912,cyanistes caeruleus
9258,cyanistes teneriffae
9042,cyanopica cooki
10939,cygnus olor
10780,delichon urbicum
9809,dendrocopos syriacus
8504,emberiza caesia
9859,emberiza cia
7972,emberiza cineracea
